스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치년도,관리기관명,관리기관전화번호,데이터기준일자
01,11,진천군,용소2길,,충청북도 진천군 광혜원면 죽현리 1278 ,36.9555343 ,127.4290685 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,용소2길,,충청북도 진천군 광혜원면 죽현리 1278 ,36.9568179 ,127.4261394 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,용소2길,충청북도 진천군 광혜원면 용소2길 27 (주)엠지,충청북도 진천군 광혜원면 회죽리 160-11,36.9580913 ,127.4304756 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,용소2길,,충청북도 진천군 광혜원면 회죽리 160-25 ,36.9580857 ,127.4311719 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,여안4길,,충청북도 진천군 덕산면 두촌리 2072,36.9110727 ,127.5328916 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,여안1길,,충청북도 진천군 덕산면 두촌리 2121,36.9104954 ,127.5327717 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,거안4길,,충청북도 진천군 덕산면 두촌리 2304,36.9083800 ,127.5287895 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,여안1길,,충청북도 진천군 덕산면 두촌리 2406,36.9094779 ,127.5306794 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,여안1길,,충청북도 진천군 덕산면 두촌리 2407,36.9085105 ,127.5344558 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,원봉로,,충청북도 진천군 덕산면 두촌리 2445,36.9097221 ,127.5355034 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9088391 ,127.5378541 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9066060 ,127.5404038 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9082059 ,127.5349290 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9079621 ,127.5348070 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9053754 ,127.5370221 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9060682 ,127.5361501 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2447,36.9045963 ,127.5336604 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,원봉로,,충청북도 진천군 덕산면 두촌리 2491,36.9034584 ,127.5330614 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,원봉로,,충청북도 진천군 덕산면 두촌리 2500,36.9038530 ,127.5325540 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,여안로,,충청북도 진천군 덕산면 두촌리 2501,36.9027746 ,127.5274496 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,연미로,,충청북도 진천군 덕산면 두촌리 2503,36.8983465 ,127.5301975 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,예지로,,충청북도 진천군 덕산면 두촌리 2508,36.9018779 ,127.5321845 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,정통로,,충청북도 진천군 덕산면 두촌리 2597,36.9051670 ,127.5437451 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,정통로,,충청북도 진천군 덕산면 두촌리 2597,36.9025021 ,127.5397325 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2600,36.9033999 ,127.5458988 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월로,,충청북도 진천군 덕산면 두촌리 2609,36.9007864 ,127.5411790 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월2길,충청북도 진천군 덕산면 대월2길 26-2,충청북도 진천군 덕산면 두촌리 2644,36.9007400 ,127.5384863 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월2길,,충청북도 진천군 덕산면 두촌리 2666,36.9003674 ,127.5400034 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,충청북도 진천군 덕산면 대하로 87-1,충청북도 진천군 덕산면 두촌리 2718,36.9023850 ,127.5282091 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월로,,충청북도 진천군 덕산면 두촌리 2740,36.9009530 ,127.5322261 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,연미1길,,충청북도 진천군 덕산면 두촌리 2743,36.9004822 ,127.5292815 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,양지로,,충청북도 진천군 덕산면 두촌리 2748,36.8987445 ,127.5282764 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월로,,충청북도 진천군 덕산면 두촌리 2758,36.8986616 ,127.5300868 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월1길,,충청북도 진천군 덕산면 두촌리 2760,36.8986804 ,127.5349081 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월1길,,충청북도 진천군 덕산면 두촌리 2769,36.8994104 ,127.5349149 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2826,36.8970689 ,127.5307102 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2826,36.8955893 ,127.5261645 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2826,36.8952222 ,127.5263233 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2826,36.8968355 ,127.5309361 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2826,36.8983393 ,127.5352580 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2826,36.9002968 ,127.5403853 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2827,36.8988601 ,127.5370838 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 2839,36.8978475 ,127.5385598 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교학로,충청북도 진천군 덕산면 교학로 7 한국교육개발원,충청북도 진천군 덕산면 두촌리 2842,36.8971089 ,127.5363201 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교학로,,충청북도 진천군 덕산면 두촌리 2843,36.8968022 ,127.5362547 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교학로,,충청북도 진천군 덕산면 두촌리 2843,36.8960648 ,127.5366631 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2848,36.8956830 ,127.5266346 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2855,36.8983650 ,127.5257653 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대하로,,충청북도 진천군 덕산면 두촌리 2855,36.8960065 ,127.5264082 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,선옥1길,,충청북도 진천군 덕산면 두촌리 2976,36.8967010 ,127.5334053 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,선옥1길,,충청북도 진천군 덕산면 두촌리 2991,36.8963529 ,127.5319600 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,선옥로,,충청북도 진천군 덕산면 두촌리 3016,36.8957908 ,127.5334109 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,여안3길,,충청북도 진천군 덕산면 두촌리 3067,36.9108477 ,127.5306710 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대월로,,충청북도 진천군 덕산면 두촌리 3147,36.9034965 ,127.5382117 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,교연로,,충청북도 진천군 덕산면 두촌리 618,36.8940425 ,127.5333990 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,도하3길,,충청북도 진천군 문백면 도하리 669-274,36.7601074 ,127.4428034 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,배티로,충청북도 진천군 백곡면 배티로 663-13 배티성지,충청북도 진천군 백곡면 양백리 471-9,36.9273118 ,127.3260117 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,,충청북도 진천군 진천읍 교성리 152-2,36.8503817 ,127.4395379 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,중앙서로,,충청북도 진천군 진천읍 교성리 176-3,36.8524528 ,127.4411152 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,원덕로,충청북도 진천군 진천읍 48 진천고등학교,충청북도 진천군 진천읍 교성리 4-6,36.8542285 ,127.4499056 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대학로,충청북도 진천군 진천읍 대학로66,충청북도 진천군 진천읍 교성리 산 15-78,36.8460219 ,127.4399509 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,대학로,충청북도 진천군 진천읍 대학로66,충청북도 진천군 진천읍 교성리 산 15-78,36.8462022 ,127.4399608 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,백곡로,,충청북도 진천군 진천읍 벽암리 220-1,36.8613614 ,127.4307551 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,백곡로,,충청북도 진천군 진천읍 벽암리 249-2,36.8612067 ,127.4304310 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,사랑재길 ,,충청북도 진천군 진천읍 벽암리 52-1,36.8577698 ,127.4354020 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,충청북도 진천군 진천읍 군청사거리 벽암사거리,충청북도 진천군 진천읍 벽암리 55-10,36.8577349 ,127.4356490 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,,충청북도 진천군 진천읍 벽암리 573,36.8610373 ,127.4384285 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,,충청북도 진천군 진천읍 벽암리 573,36.8609219 ,127.4387882 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,중앙북1길,,충청북도 진천군 진천읍 벽암리 580,36.8597170 ,127.4393690 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,덕금로,,충청북도 진천군 진천읍 성석리 289-2,36.8638076 ,127.4527640 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,덕금로,,충청북도 진천군 진천읍 성석리 488-1,36.8669842 ,127.4420751 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,,충청북도 진천군 진천읍 성석리 523-14,36.8641056 ,127.4431727 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,,충청북도 진천군 진천읍 성석리 545-9,36.8634311 ,127.4473384 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,문화로,,충청북도 진천군 진천읍 성석리 609-8,36.8628165 ,127.4508532 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
01,11,진천군,원덕로,,충청북도 진천군 진천읍 성석리 626-8,36.8602373 ,127.4524081 ,01,N,전류센서,방범,N,N,N,N,Y,Y,양방향관제시스템,천재지변이나 위급한 상황시 원격으로 분전함 제어및 고장시 문자 통보,전력값 측정,2014,충청북도 진천군,043-539-3362,2018-08-01
