,스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
3028,1,부산광역시,서구,7구역 대우푸르지오정문,부산광역시 서구 고운들로 86,부산 서구 서대신동1가 88-5,35.107772,129.016741,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3029,1,부산광역시,서구,7구역 대우푸르지오후문,,부산광역시 서구 서대신동1가 287,35.108063636,129.013095349,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3050,1,부산광역시,서구,남항대교 접속도로 우측( 1162571 ),,부산광역시 서구 암남동 123-34,35.079147,129.023489,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3051,1,부산광역시,서구,남항대교 해안도로 매립측( TH141258407 ),,부산광역시 서구 암남동 123-45,35.076573,129.024305,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3052,1,부산광역시,서구,남항대교 해안도로 해변측( 159번 배전함 ),,부산광역시 서구 암남동 123-23,35.076503,129.024538,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3053,1,부산광역시,서구,남항방파제 입구~대성주유소 뒤,,부산광역시 서구 남부민동 523-77,35.081643,129.025131,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3054,1,부산광역시,서구,송도해수욕장 2화장실( KH141203167 ),,부산광역시 서구 암남동 135-7,35.073866,129.016264,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3055,1,부산광역시,서구,해변횟집∼ 푸른횟집간( 7093851 ),,부산광역시 서구 암남동 589-3,35.071872,129.017164,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3056,1,부산광역시,서구,거북교 앞( 1035354 ),,부산광역시 서구 암남동 135-16,35.077042,129.021581,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3057,1,부산광역시,서구,남항대교 입구 ∼ 송림공원 입구( KH141195790 ),,부산광역시 서구 암남동 123-16,35.077648,129.023043,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3058,1,부산광역시,서구,송도해수욕장 중앙광장해변( 1078460 ),,부산광역시 서구 암남동 135-6,35.076582,129.017515,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3059,1,부산광역시,서구,감천로∼마리아영아원( ),,부산광역시 서구 암남동 5-10,35.083652,129.013577,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3060,1,부산광역시,서구,천마산 도로개설,,부산광역시 서구 암남동 2-45,35.084466,129.012902,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3061,1,부산광역시,서구,화랑초등학교∼ 대신상가간(1199790),,부산광역시 서구 동대신동1가 230-2,35.108733,129.020085,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3062,1,부산광역시,서구,화랑초등학교∼ 부산은행간(4242775),,부산광역시 서구 동대신동1가 314,35.109209,129.021631,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3063,1,부산광역시,서구,부산은행∼ 동신초등학교간( LG141022046 ),,부산광역시 서구 동대신동2가 283-2,35.111666,129.020326,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3064,1,부산광역시,서구,삼익아파트 진입로( 7575712 ),부산광역시 서구 구덕로296번길 6,부산 서구 동대신동2가 428-5,35.110561,129.018084,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3065,1,부산광역시,서구,삼익아파트∼ 동대3동사간( 1138088 ),,부산광역시 서구 동대신동3가 329-2,35.114255,129.017268,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3066,1,부산광역시,서구,동아대 부속병원 진입로( 1171734 ),부산광역시 서구 대신공원로 15-1,부산 서구 동대신동3가 13-11,35.119345,129.016173,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3067,1,부산광역시,서구,대도카메라∼ 보건소 입구( 571050 ),부산광역시 서구 부용로 18,부산 서구 서대신동1가 100,35.108219,129.017283,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3068,1,부산광역시,서구,부민 e-편한세상 옆도로,부산광역시 서구 해돋이로 303,부산 서구 부민동3가 8-520,35.103422,129.016361,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3069,1,부산광역시,서구,법원 뒷길( 0330046 ),,부산광역시 서구 부용동2가 100,35.105882,129.018202,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3070,1,부산광역시,서구,토성동 동사무소∼ 충무동노상주차장간( 0 3 7 8 4 7 3 ),,부산광역시 서구 토성동4가 35,35.098014,129.024278,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3071,1,부산광역시,서구,토성동 ∼ 한전간( 1070989 ),,부산광역시 서구 토성동5가 59-1,35.097598,129.022605,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3072,1,부산광역시,서구,예비군훈련장입구,,부산광역시 서구 암남동 산 55,35.077899,129.011742,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3073,1,부산광역시,서구,송도아랫길새벽시장( TH141167216 ),,부산광역시 서구 남부민동 682,35.093367,129.025087,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3074,1,부산광역시,서구,완월동 입구( 9004333 ),부산광역시 서구 천마로 221-1,부산 서구 충무동2가 25-1,35.095447,129.022257,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3075,1,부산광역시,서구,동아대병원∼망양로간( PS141090066 ),부산광역시 서구 동대로 14,부산 서구 동대신동3가 37-18,35.119257,129.017596,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3076,1,부산광역시,서구,암남동 금강타워 뒷길( 0 6 3 9 9 3 4 ),,부산광역시 서구 암남동 34-7,35.081327,129.012645,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3077,1,부산광역시,서구,송도혜성비치타운진입도로(  ),부산광역시 서구 장군산로 47-15,부산 서구 암남동 600-5,35.072091,129.015731,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3078,1,부산광역시,서구,아미∼ 대티간 산복도로( 1146780 ),,부산광역시 서구 서대신동1가 283,35.107148,129.015654,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3079,1,부산광역시,서구,아미∼ 대티간 산복도로( 1 1 7 9 7 9 2 ),,부산광역시 서구 부민동3가 22-43,35.102759,129.016834,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3080,1,부산광역시,서구,아미2파출소∼ 초장산복도로입구( LG150288074 ),부산광역시 서구 해돋이로 207,부산 서구 초장동 65-280,35.095525,129.018484,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3081,1,부산광역시,서구,남부민동 도개공 아파트,,부산광역시 서구 남부민동 708,35.083032,129.019702,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3082,1,부산광역시,서구,초장동 산복도로∼ 동천주택간( LG150288063 ),부산광역시 서구 해돋이로 128-1,부산 서구 남부민동 88-22,35.090112,129.021699,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3083,1,부산광역시,서구,해강아동관∼ 35번버스종점간( LG150288063 ),,부산광역시 서구 남부민동 429-100,35.083494,129.018022,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3084,1,부산광역시,서구,아미파출소앞 ~ 초장중학교,,부산광역시 서구 아미동2가 81-74,35.098219,129.016666,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3085,1,부산광역시,서구,대청공원∼ 한국빌리간(1271813),,부산광역시 서구 동대신동2가 1-196,35.114439,129.025815,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3086,1,부산광역시,서구,한국빌라∼ 영산맨션간(386988),,부산광역시 서구 동대신동2가 3-1,35.116136,129.022807,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3087,1,부산광역시,서구,대티고개∼ 광성공고간( 383136 ),부산광역시 서구 시약로 15,부산 서구 서대신동3가 703-53,35.111084,129.008916,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3088,1,부산광역시,서구,남성한빛∼ 부산신학교간( 1106878 ),,부산광역시 서구 서대신동3가 167-7,35.117264,129.009633,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3089,1,부산광역시,서구,민방위교육장∼ 꽃마을간( 0230435 ),,부산광역시 서구 서대신동3가 산 18-1,35.121219,129.008598,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3090,1,부산광역시,서구,구덕운동장∼ 민방위교육장간( 1197069 ),,부산광역시 서구 서대신동3가 769-3,35.118285,129.012011,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3091,1,부산광역시,서구,서대6지구 꽃마을(KH140921687),,부산광역시 서구 서대신동3가 7-5,35.127739,129.007226,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3092,1,부산광역시,서구,서대3동 계성여중 뒤( SC141511833 ),,부산광역시 서구 서대신동3가 162-8,35.118295,129.011735,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3093,1,부산광역시,서구,내원정사,,부산광역시 서구 서대신동3가 6-32,35.127584,129.009555,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3094,1,부산광역시,서구,구덕운동장 뒷편( KH14046605 ),,부산광역시 서구 서대신동3가 210-1,35.115348,129.015697,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3095,1,부산광역시,서구,구덕운동장 뒤( 1324016 ),,부산광역시 서구 서대신동3가 92,35.117483,129.014309,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3096,1,부산광역시,서구,감천고개∼ 아미초등학교간( 1250560 ),부산광역시 서구 아미로 49,부산 서구 아미동2가 227-7,35.099837,129.012443,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3097,1,부산광역시,서구,감천고개∼ 아미초등학교간( 1154081 ),부산광역시 서구 아미로 121,부산 서구 아미동2가 196-15,35.098997,129.015112,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3098,1,부산광역시,서구,초장동 산복도로( 1114084 ),부산광역시 서구 초장로 20-1,부산 서구 초장동 89-221,35.094018,129.019714,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3099,1,부산광역시,서구,남부민 산복도로∼ 충무동간( 1107221 ),,부산광역시 서구 초장동 89-112,35.094997,129.020625,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3100,1,부산광역시,서구,남부민2동 배수지 진입로( TH141166971 ),,부산광역시 서구 남부민동 429-176,35.083935,129.017139,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3101,1,부산광역시,서구,천마초등학교진입로( 165909 ),,부산광역시 서구 남부민동 434-148,35.082377409,129.018266035,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3102,1,부산광역시,서구,남부민동 ∼ 아미동간 산복도로( KH141202188  ),,부산광역시 서구 남부민동 93-6,35.088448,129.021118,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3103,1,부산광역시,서구,천부암 입구~용주사입구(LG141052322),,부산광역시 서구 초장동 136-185,35.092504,129.017599,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3104,1,부산광역시,서구,남부민동 ∼ 아미동간 산복도로(11차),,부산광역시 서구 아미동2가 38-4,35.097273,129.016469,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3105,1,부산광역시,서구,아미초등학교 뒷길,,부산광역시 서구 아미동2가 89,35.098114,129.016312,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3106,1,부산광역시,서구,해원냉장앞(남부3동등대앞)( 1001096 ),부산광역시 서구 등대로 123,부산 서구 남부민동 523-37,35.084615,129.025595,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3107,1,부산광역시,서구,롯데캐슬 후문,,부산광역시 서구 서대신동3가 763,35.113775,129.010875,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3108,1,부산광역시,서구,롯데캐슬 정문,,부산광역시 서구 서대신동3가 763,35.115482,129.010664,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3109,1,부산광역시,서구,서대신교차로~협성르네상스타운,부산광역시 서구 대티로 177,부산 서구 서대신동3가 592,35.111809,129.011945,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3110,1,부산광역시,서구,서구사회복지회관 ∼ 중구 경계(KH141966030),,부산광역시 서구 동대신동1가 12-16,35.111648,129.025281,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3111,1,부산광역시,서구,동대2파출소∼ 서구사회복지회관(5652113),,부산광역시 서구 동대신동2가 87-53,35.113597,129.025535,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3112,1,부산광역시,서구,동대산복도구덕약국∼ 동대2파출소간(209665),,부산광역시 서구 동대신동3가 63-305,35.118597892,129.019894145,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3113,1,부산광역시,서구,문화맨션∼ 맘모스제과간( 0345625 ),,부산광역시 서구 동대신동3가 156-1,35.115563,129.016897,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3114,1,부산광역시,서구,경남상고∼ 서대로타리간( 476467 ),,부산광역시 서구 서대신동3가 508-6,35.112705,129.013251,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3115,1,부산광역시,서구,서대로타리∼ 부화국기사간( 4127155 ),,부산광역시 서구 서대신동3가 460-1,35.111415,129.012683,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3116,1,부산광역시,서구,월드컴퓨터∼ 구덕실내체육관간( 2 5 9 0 3 5 7 ),,부산광역시 서구 서대신동3가 249-31,35.114453,129.014286,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3117,1,부산광역시,서구,망양로 158,,부산광역시 서구 동대신동2가 77-91,35.115429,129.023656,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3118,1,부산광역시,서구,망양로 믿음약국-중앙학원( TH141391245 ),,부산광역시 서구 동대신동3가 94-1,35.117206,129.018156,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3119,1,부산광역시,서구,송도해수욕장입구∼ 현대아파트간( 1170702 ),,부산광역시 서구 암남동 601-6,35.072173,129.016039,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3120,1,부산광역시,서구,현대아파트∼ 혈청소해안도로간( 1187875 ),,부산광역시 서구 암남동 산 123-18,35.069755,129.019057,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3121,1,부산광역시,서구,송도 혈청소 해안도로( 1170483 ),,부산광역시 서구 암남동 산 188-17,35.063363488,129.019288378,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3122,1,부산광역시,서구,송도혈청소∼ 모지포간( TH141166891 ),,부산광역시 서구 암남동 620-2,35.062604,129.019047,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3123,1,부산광역시,서구,혈청소∼ 모지포간( 742808 ),,부산광역시 서구 암남동 621-109,35.064025,129.014398,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3124,1,부산광역시,서구,장군산 순환도로(등나무집)( PS140091606 ),,부산광역시 서구 암남동 산 87-1,35.073955,129.009449,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3125,1,부산광역시,서구,장군산 순환도로(혈청소 마을측)( PS140092027 ),,부산광역시 서구 암남동 산 109,35.066897,129.012817,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3126,3,부산광역시,서구,원양어업집산도로(  LG141145984 ),,부산광역시 서구 암남동 726,35.061783,129.011271,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3127,1,부산광역시,서구,환경종합단지입구(대주냉장 앞)( LG141405218  ),,부산광역시 서구 암남동 660-4,35.077043,129.007478,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3128,1,부산광역시,서구,해수욕장 사거리~송도 공영주차장( 1160241),,부산광역시 서구 암남동 543,35.074427,129.015425,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3129,1,부산광역시,서구,감천 새고개간( 1226848 ),,부산광역시 서구 아미동2가 233-62,35.100399,129.011348,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3130,1,부산광역시,서구,송도위길 유림빌라∼ 남부3파출소간( TH141182918 ),부산광역시 서구 천마로 171,부산 서구 남부민동 66-3,35.090969,129.022719,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3131,1,부산광역시,서구,남부민 3파출소∼ 송도실업고간( LG150288063 ),,부산광역시 서구 남부민동 443-2,35.083948,129.019739,03,Y,해당없음, ,N,N,N,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3132,1,부산광역시,서구,송도실업고∼ 송도해수욕장 입구( LG150289499 ),,부산광역시 서구 암남동 672-7,35.080846,129.020467,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3133,1,부산광역시,서구,송도윗길입구 ~ 대양약국간(PS141102968),부산광역시 서구 천마로 215-1,부산 서구 충무동2가 17-1,35.094704,129.022097,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3134,1,부산광역시,서구,아미대티간산복도로( 0193417 ),,부산광역시 서구 서대신동2가 509-137,35.107728,129.012011,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3135,1,부산광역시,서구,송도해수욕장진입로( TH141179932 ),,부산광역시 서구 암남동 334-10,35.077657,129.016153,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3136,1,부산광역시,서구,충무로 남항대교 입구(PS141323902),,부산광역시 서구 암남동 95-38,35.080507,129.023315,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3137,1,부산광역시,서구,충무교차로~충무우체국(LG140808352),,부산광역시 서구 충무동1가 43-1,35.095164,129.024359,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
3138,1,부산광역시,서구,충무로 대림비치아파트 앞,,부산광역시 서구 남부민동 523-64,35.082483,129.024935,03,Y,해당없음, ,N,N,Y,N,Y,Y,,,,,부산광역시 서구청,051-240-4672,2020-10-22,3260000,부산광역시 서구
