시도명,시군구명,읍/면/동
세종특별자치시,세종,연동면
인천광역시,부평구,청천동
서울특별시,강서구,방화동
충청남도,아산시,득산동
경기도,동두천시,상봉암동
경상북도,울진군,온정면
충청남도,공주시,반포면
경상북도,문경시,흥덕동
강원도,강릉시,두산동
경기도,김포시,양촌읍
경기도,파주시,금촌동
경기도,성남시수정구,신흥동
부산광역시,기장군,일광면
부산광역시,부산진구,양정동
경기도,의정부시,금오동
대전광역시,서구,도마동
충청남도,천안시서북구,성거읍
강원도,정선군,여량면
강원도,태백시,황지동
경기도,평택시,청룡동
부산광역시,기장군,철마면
경상북도,경주시,황성동
경상남도,함안군,칠북면
대구광역시,동구,백안동
전라남도,구례군,구례읍
전라북도,완주군,삼례읍
전라남도,목포시,상동
전라남도,영암군,군서면
대구광역시,달서구,신당동
충청남도,부여군,외산면
전라북도,부안군,부안읍
경기도,이천시,장호원읍
경상남도,함양군,지곡면
부산광역시,금정구,남산동
인천광역시,부평구,십정동
경상북도,영천시,화산면
경기도,안성시,서운면
충청남도,태안군,소원면
경상북도,칠곡군,기산면
광주광역시,광산구,수완동
전라남도,여수시,율촌면
대전광역시,동구,가양동
대구광역시,수성구,중동
서울특별시,송파구,가락동
경상남도,밀양시,상동면
제주특별자치도,제주시,삼도이동
전라북도,전주시덕진구,우아동3가
울산광역시,울주군,청량면
경상남도,통영시,용남면
강원도,강릉시,홍제동
경상남도,의령군,부림면
부산광역시,수영구,광안동
서울특별시,성북구,정릉동
경기도,김포시,대곶면
전라남도,강진군,강진읍
경기도,고양시덕양구,현천동
경상남도,합천군,합천읍
경기도,광주시,초월읍
서울특별시,관악구,봉천동
경상남도,양산시,주남동
경기도,용인시기흥구,마북동
강원도,삼척시,정하동
대구광역시,달서구,감삼동
충청남도,청양군,화성면
경기도,화성시,정남면
서울특별시,은평구,구산동
경상남도,창원시 의창구,용호동
경기도,안산시단원구,선부동
경기도,고양시일산동구,장항동
울산광역시,중구,남외동
충청남도,계룡시,엄사면
경상북도,경주시,용강동
강원도,철원군,김화읍
경기도,하남시,덕풍동
경기도,파주시,연다산동
경기도,포천시,영중면
경기도,양평군,개군면
경기도,안성시,아양동
서울특별시,성동구,행당동
경기도,안양시만안구,안양동
경상북도,고령군,쌍림면
충청남도,금산군,복수면
서울특별시,종로구,숭인동
경기도,고양시일산서구,가좌동
경상북도,칠곡군,지천면
강원도,동해시,동회동
강원도,평창군,용평면
경상남도,함안군,군북면
경상북도,울진군,북면
경기도,연천군,신서면
경상북도,안동시,서후면
경기도,포천시,소흘읍
경상남도,김해시,주촌면
충청남도,예산군,신암면
충청남도,부여군,부여읍
부산광역시,금정구,구서동
경기도,안성시,대천동
경기도,양평군,강하면
경기도,성남시수정구,신흥동
전라남도,순천시,황전면
서울특별시,용산구,용산동2가
경기도,평택시,도일동
경기도,부천시,삼정동
경기도,가평군,청평면
대구광역시,동구,효목동
충청북도,청주시흥덕구,강내면
경기도,양주시,고암동
충청북도,청주시청원구,오창읍
경기도,시흥시,과림동
전라북도,전주시완산구,평화동2가
경기도,고양시덕양구,지축동
서울특별시,서초구,방배동
전라북도,전주시완산구,평화동2가
경기도,여주시,삼교동
대전광역시,서구,갈마동
충청남도,서산시,대산읍
광주광역시,광산구,장덕동
경기도,파주시,금촌동
경상북도,의성군,옥산면
경기도,안성시,양성면
충청북도,충주시,칠금동
전라남도,순천시,해룡면
서울특별시,서초구,원지동
충청남도,홍성군,은하면
서울특별시,강동구,암사동
충청남도,예산군,대술면
충청남도,아산시,인주면
전라남도,여수시,상암동
충청남도,서산시,운산면
충청남도,보령시,주교면
전라남도,나주시,다시면
서울특별시,서초구,반포동
대구광역시,달성군,다사읍
전라북도,전주시덕진구,인후동1가
전라남도,장흥군,부산면
대구광역시,수성구,만촌동
서울특별시,강남구,신사동
경기도,평택시,신장동
강원도,홍천군,남면
경기도,평택시,포승읍
경기도,이천시,증포동
경기도,안산시단원구,고잔동
경상북도,의성군,다인면
울산광역시,울주군,언양읍
경기도,평택시,가재동
전라남도,강진군,마량면
경상북도,구미시,원평동
충청남도,금산군,추부면
경기도,오산시,수청동
대전광역시,유성구,용산동
서울특별시,마포구,하중동
대전광역시,동구,가양동
광주광역시,동구,학동
충청북도,단양군,단양읍
경상북도,칠곡군,가산면
강원도,강릉시,강동면
부산광역시,영도구,청학동
경상북도,경산시,하양읍
서울특별시,중랑구,상봉동
경상남도,창원시 마산합포구,덕동동
경기도,안양시만안구,안양동
경상남도,양산시,하북면
강원도,춘천시,석사동
경상북도,경주시,충효동
경기도,포천시,내촌면
경상남도,함양군,유림면
경기도,광주시,쌍령동
경기도,화성시,정남면
서울특별시,종로구,이화동
경기도,고양시일산서구,일산동
전라남도,함평군,해보면
서울특별시,동작구,노량진동
경상북도,청도군,청도읍
경상남도,김해시,상동면
전라북도,남원시,사매면
전라남도,여수시,돌산읍
경기도,안양시동안구,비산동
서울특별시,노원구,하계동
서울특별시,중구,산림동
전라북도,부안군,변산면
서울특별시,은평구,신사동
서울특별시,강남구,청담동
충청남도,서산시,부석면
경기도,이천시,부발읍
부산광역시,사하구,신평동
충청남도,청양군,청양읍
대구광역시,달성군,화원읍
부산광역시,사하구,장림동
경상북도,경산시,갑제동
인천광역시,남구,도화동
서울특별시,동작구,사당동
인천광역시,서구,가정동
경상북도,칠곡군,가산면
부산광역시,서구,충무동2가
경상남도,함양군,함양읍
대구광역시,동구,각산동
경기도,양평군,양서면
충청북도,청주시서원구,산남동
전라북도,익산시,목천동
경기도,김포시,통진읍
제주특별자치도,제주시,구좌읍
경기도,가평군,가평읍
전라북도,완주군,동상면
서울특별시,강북구,번동
전라남도,화순군,화순읍
경기도,광명시,노온사동
경상남도,진주시,대곡면
경상북도,상주시,내서면
경기도,안성시,도기동
충청남도,아산시,배방읍
제주특별자치도,서귀포시,법환동
경기도,광주시,곤지암읍
경기도,화성시,정남면
서울특별시,동작구,신대방동
강원도,속초시,조양동
충청남도,당진시,합덕읍
부산광역시,기장군,기장읍
전라남도,영광군,군서면
광주광역시,서구,광천동
광주광역시,북구,동림동
강원도,철원군,서면
인천광역시,서구,당하동
부산광역시,사상구,감전동
서울특별시,마포구,성산동
전라남도,광양시,중동
서울특별시,동대문구,휘경동
충청남도,부여군,초촌면
울산광역시,울주군,범서읍
울산광역시,남구,삼산동
경상북도,경산시,진량읍
경기도,성남시수정구,신흥동
전라남도,여수시,율촌면
충청북도,음성군,대소면
부산광역시,해운대구,반송동
경상북도,경주시,동천동
전라북도,전주시완산구,효자동3가
대전광역시,서구,변동
대구광역시,달서구,본동
서울특별시,마포구,신공덕동
경기도,수원시영통구,매탄동
경기도,성남시분당구,정자동
경기도,김포시,대곶면
경상남도,남해군,남해읍
경상남도,거제시,사등면
전라남도,광양시,황길동
서울특별시,구로구,개봉동
대전광역시,동구,소제동
경기도,용인시수지구,상현동
경기도,안산시상록구,사사동
충청남도,천안시서북구,성거읍
서울특별시,서대문구,연희동
경기도,고양시일산서구,일산동
충청남도,보령시,주교면
전라북도,전주시덕진구,덕진동1가
충청북도,청주시청원구,주중동
강원도,양양군,양양읍
경기도,수원시팔달구,인계동
경상북도,경주시,감포읍
강원도,횡성군,청일면
경상남도,사천시,향촌동
서울특별시,송파구,장지동
경상남도,김해시,내동
경기도,수원시팔달구,우만동
전라북도,전주시완산구,상림동
경기도,수원시팔달구,우만동
경기도,화성시,장안면
경기도,이천시,신둔면
전라북도,전주시완산구,효자동2가
서울특별시,송파구,잠실동
세종특별자치시,세종,연동면
부산광역시,사하구,하단동
서울특별시,금천구,시흥동
울산광역시,울주군,두서면
경기도,안양시만안구,안양동
서울특별시,서초구,방배동
경기도,고양시덕양구,행신동
경기도,평택시,포승읍
충청남도,천안시서북구,성환읍
광주광역시,북구,양산동
인천광역시,동구,송림동
인천광역시,동구,송현동
충청북도,청주시서원구,분평동
부산광역시,영도구,청학동
경기도,김포시,하성면
인천광역시,동구,송림동
인천광역시,동구,송림동
서울특별시,동대문구,전농동
전라남도,광양시,금호동
충청남도,태안군,태안읍
경기도,파주시,법원읍
경상남도,하동군,하동읍
강원도,속초시,교동
충청북도,음성군,감곡면
부산광역시,사하구,괴정동
충청북도,청주시흥덕구,송정동
서울특별시,노원구,월계동
인천광역시,남구,용현동
충청남도,예산군,오가면
경기도,포천시,소흘읍
경기도,여주시,상동
충청남도,천안시동남구,신부동
서울특별시,마포구,성산동
서울특별시,강북구,번동
경기도,양주시,고암동
서울특별시,영등포구,영등포동4가
경기도,성남시수정구,양지동
대구광역시,중구,수창동
경기도,광명시,철산동
경기도,안산시단원구,고잔동
전라남도,나주시,금천면
충청남도,태안군,원북면
경상북도,포항시남구,송도동
충청남도,서산시,지곡면
경기도,여주시,점동면
경기도,김포시,하성면
인천광역시,계양구,동양동
전라남도,나주시,남평읍
경기도,파주시,파주읍
충청남도,천안시서북구,성환읍
전라남도,나주시,다도면
경기도,김포시,대곶면
충청남도,금산군,금산읍
경상남도,밀양시,하남읍
서울특별시,금천구,가산동
경기도,화성시,팔탄면
서울특별시,동작구,상도동
경기도,성남시분당구,삼평동
경기도,남양주시,화도읍
전라북도,순창군,복흥면
광주광역시,서구,금호동
경기도,양평군,양평읍
울산광역시,남구,달동
서울특별시,금천구,독산동
인천광역시,계양구,하야동
부산광역시,금정구,부곡동
경기도,가평군,가평읍
부산광역시,해운대구,좌동
서울특별시,중랑구,면목동
경기도,하남시,천현동
부산광역시,사하구,구평동
서울특별시,관악구,봉천동
강원도,고성군,토성면
전라북도,고창군,대산면
경기도,양주시,은현면
대전광역시,대덕구,상서동
서울특별시,성동구,금호동4가
경상남도,창녕군,대합면
경기도,파주시,야당동
경상북도,칠곡군,북삼읍
경상남도,진주시,상대동
경기도,안양시동안구,비산동
경기도,안산시상록구,부곡동
서울특별시,강남구,논현동
인천광역시,계양구,작전동
충청북도,충주시,앙성면
전라남도,신안군,장산면
인천광역시,연수구,송도동
경상남도,고성군,고성읍
경상남도,창원시 마산회원구,회원동
서울특별시,성동구,도선동
경상남도,통영시,도산면
울산광역시,울주군,웅촌면
충청남도,보령시,죽정동
충청북도,청주시청원구,오동동
전라남도,무안군,삼향읍
전라남도,완도군,약산면
강원도,양양군,양양읍
서울특별시,관악구,봉천동
경기도,안양시만안구,안양동
충청북도,단양군,적성면
세종특별자치시,세종,전의면
강원도,강릉시,성산면
부산광역시,해운대구,반송동
서울특별시,동대문구,제기동
세종특별자치시,세종,전의면
서울특별시,강남구,역삼동
서울특별시,광진구,구의동
서울특별시,종로구,세종로
경기도,남양주시,화도읍
경기도,용인시처인구,이동면
서울특별시,강동구,암사동
전라남도,보성군,벌교읍
부산광역시,수영구,광안동
대구광역시,수성구,대흥동
대구광역시,북구,복현동
세종특별자치시,세종,보람동
부산광역시,사하구,괴정동
서울특별시,관악구,신림동
서울특별시,영등포구,여의도동
대구광역시,수성구,매호동
경기도,오산시,원동
충청남도,아산시,영인면
경기도,이천시,신둔면
서울특별시,서대문구,홍은동
경기도,화성시,봉담읍
충청북도,음성군,금왕읍
인천광역시,강화군,불은면
경기도,포천시,소흘읍
부산광역시,남구,용당동
전라북도,전주시완산구,풍남동3가
경기도,시흥시,정왕동
경상북도,포항시남구,송도동
충청남도,공주시,금성동
서울특별시,강동구,길동
경기도,김포시,통진읍
대구광역시,남구,대명동
경기도,남양주시,일패동
대구광역시,북구,서변동
경기도,화성시,동탄면
서울특별시,송파구,잠실동
경기도,수원시팔달구,지동
서울특별시,은평구,불광동
경상남도,김해시,한림면
경상북도,포항시남구,구룡포읍
세종특별자치시,세종,조치원읍
경기도,안산시단원구,초지동
충청북도,음성군,대소면
인천광역시,부평구,부평동
전라남도,고흥군,도화면
경기도,구리시,토평동
충청북도,옥천군,동이면
인천광역시,서구,검암동
서울특별시,양천구,목동
충청북도,음성군,삼성면
서울특별시,강남구,역삼동
서울특별시,영등포구,신길동
경기도,안양시동안구,관양동
경상북도,청도군,금천면
충청북도,보은군,삼승면
전라북도,정읍시,입암면
경기도,광주시,곤지암읍
경상북도,의성군,금성면
경기도,안성시,공도읍
경기도,시흥시,방산동
강원도,원주시,부론면
충청북도,충주시,주덕읍
경상북도,구미시,공단동
경기도,김포시,대곶면
충청남도,부여군,규암면
전라북도,익산시,석암동
경기도,평택시,서정동
전라남도,진도군,진도읍
인천광역시,부평구,부평동
전라남도,나주시,금천면
경상남도,함양군,함양읍
경기도,오산시,부산동
충청남도,청양군,남양면
경기도,수원시장안구,파장동
충청남도,부여군,홍산면
경상북도,영주시,이산면
강원도,영월군,남면
충청남도,서천군,문산면
서울특별시,노원구,월계동
경기도,양평군,양서면
전라남도,강진군,칠량면
충청남도,천안시동남구,풍세면
서울특별시,강남구,대치동
대전광역시,중구,용두동
서울특별시,노원구,상계동
경상남도,창원시 의창구,북면
인천광역시,강화군,길상면
서울특별시,노원구,상계동
서울특별시,송파구,문정동
경기도,안양시만안구,석수동
서울특별시,강서구,등촌동
인천광역시,강화군,삼산면
경기도,동두천시,지행동
경기도,군포시,금정동
경기도,화성시,석우동
충청남도,당진시,대호지면
경상남도,양산시,다방동
경상남도,양산시,소주동
부산광역시,사하구,당리동
전라남도,함평군,엄다면
충청북도,증평군,증평읍
경기도,오산시,오산동
대전광역시,동구,가오동
경기도,남양주시,별내면
경기도,군포시,당정동
전라남도,장성군,북이면
세종특별자치시,세종,연서면
전라북도,남원시,대산면
부산광역시,동구,초량동
경기도,여주시,하거동
전라남도,영광군,군남면
서울특별시,중구,남대문로1가
경기도,연천군,전곡읍
서울특별시,은평구,녹번동
전라북도,완주군,봉동읍
전라남도,나주시,노안면
서울특별시,영등포구,문래동3가
부산광역시,북구,구포동
충청남도,아산시,온천동
경기도,이천시,모가면
전라북도,남원시,주생면
광주광역시,동구,불로동
서울특별시,중랑구,묵동
경기도,화성시,남양읍
경상남도,김해시,한림면
경기도,포천시,영북면
경기도,화성시,향남읍
경기도,하남시,신장동
경기도,시흥시,정왕동
전라북도,김제시,죽산면
서울특별시,서초구,반포동
경기도,남양주시,도농동
충청남도,예산군,덕산면
서울특별시,서초구,서초동
충청남도,당진시,순성면
서울특별시,은평구,수색동
경기도,수원시권선구,세류동
서울특별시,중구,필동2가
경기도,구리시,인창동
충청남도,논산시,연산면
제주특별자치도,제주시,도평동
대구광역시,수성구,범어동
충청북도,청주시흥덕구,옥산면
서울특별시,중구,을지로5가
서울특별시,강동구,상일동
서울특별시,용산구,이태원동
강원도,원주시,단계동
서울특별시,송파구,방이동
인천광역시,부평구,청천동
충청북도,청주시흥덕구,서촌동
서울특별시,노원구,상계동
대전광역시,서구,월평동
경상북도,구미시,장천면
경기도,양평군,양서면
경기도,하남시,창우동
전라북도,김제시,백구면
경상남도,창원시 마산회원구,내서읍
경상북도,김천시,감문면
서울특별시,강북구,미아동
경기도,용인시기흥구,청덕동
서울특별시,마포구,상암동
서울특별시,구로구,고척동
대구광역시,동구,효목동
전라남도,강진군,대구면
경상남도,양산시,평산동
울산광역시,중구,성남동
경기도,안산시상록구,장상동
경상북도,고령군,성산면
서울특별시,강동구,암사동
전라북도,정읍시,과교동
경상남도,창녕군,길곡면
울산광역시,울주군,삼남면
전라북도,부안군,백산면
부산광역시,서구,초장동
서울특별시,서대문구,신촌동
서울특별시,동대문구,청량리동
경상남도,김해시,진영읍
경상북도,성주군,성주읍
전라남도,여수시,선원동
충청남도,논산시,연무읍
대구광역시,북구,읍내동
서울특별시,강남구,역삼동
경상북도,구미시,공단동
전라북도,김제시,백산면
서울특별시,동작구,사당동
충청남도,청양군,정산면
충청남도,보령시,웅천읍
강원도,횡성군,횡성읍
경기도,시흥시,도창동
서울특별시,용산구,청파동3가
인천광역시,서구,가정동
서울특별시,강동구,명일동
서울특별시,도봉구,도봉동
대전광역시,서구,가수원동
충청남도,금산군,추부면
충청남도,논산시,상월면
대구광역시,중구,대신동
경기도,광주시,도척면
경상남도,김해시,부곡동
경상남도,사천시,향촌동
경상남도,함안군,산인면
경기도,김포시,사우동
경상남도,하동군,악양면
경기도,화성시,장안면
대전광역시,동구,신안동
서울특별시,강남구,삼성동
대구광역시,동구,신암동
경기도,평택시,이충동
인천광역시,서구,심곡동
서울특별시,강서구,내발산동
경기도,의정부시,용현동
대구광역시,북구,도남동
경기도,양평군,강하면
세종특별자치시,세종,대평동
충청남도,예산군,덕산면
강원도,태백시,황지동
경기도,광주시,목동
충청남도,서산시,대산읍
부산광역시,기장군,장안읍
경기도,의왕시,포일동
경기도,부천시,역곡동
충청남도,천안시서북구,성거읍
대전광역시,유성구,노은동
부산광역시,영도구,남항동1가
경상남도,김해시,신문동
경상남도,거제시,고현동
경기도,안산시단원구,선부동
경기도,구리시,수택동
경기도,성남시수정구,금토동
대구광역시,달성군,화원읍
경기도,이천시,장호원읍
강원도,강릉시,운정동
인천광역시,남동구,구월동
경기도,화성시,정남면
경상북도,김천시,지좌동
전라북도,전주시덕진구,팔복동1가
전라남도,순천시,연향동
경기도,포천시,영중면
경기도,김포시,대곶면
충청남도,아산시,신창면
서울특별시,강서구,등촌동
대구광역시,수성구,두산동
경상남도,남해군,이동면
서울특별시,용산구,원효로3가
경기도,평택시,포승읍
서울특별시,도봉구,쌍문동
전라북도,군산시,서수면
충청남도,서산시,읍내동
충청남도,천안시동남구,수신면
전라북도,임실군,오수면
경기도,여주시,가업동
전라남도,영암군,미암면
대전광역시,서구,관저동
서울특별시,광진구,자양동
전라남도,함평군,나산면
경상남도,하동군,고전면
전라북도,완주군,운주면
경기도,남양주시,화도읍
대전광역시,서구,도마동
충청북도,충주시,신니면
경기도,성남시분당구,정자동
서울특별시,강남구,역삼동
충청북도,음성군,대소면
광주광역시,북구,삼각동
서울특별시,마포구,중동
경상남도,김해시,삼방동
경기도,김포시,고촌읍
